undernourish%,undernourish(in m),m/s_finsec%,s_finsec(in m),m/s_finsec(in m),pcap_fprod,pcap_fsup,Mag,CPI,DisType,normalized
4.1,8.6,28.9,15.4,61.3,24.4,34.0,136547.1956344041,95.51296742,Flood,0.055917423894796814
4.1,8.6,28.9,15.4,61.3,24.4,34.0,136547.1956344041,95.51296742,Flood,0.055917423894796814
4.1,8.6,28.9,15.4,61.3,24.4,34.0,136547.1956344041,95.51296742,Flood,0.055917423894796814
4.1,8.6,28.9,15.4,61.3,24.4,34.0,136547.1956344041,95.51296742,Flood,0.055917423894796814
3.4,0.2,14.9,0.1,1.1,44.7,18.0,136546.90950182272,87.46993221,Flood,0.055917306621914346
2.8,0.2,12.5,0.1,0.9,43.1,47.0,78520.0,92.6696698,Flood,0.032134684925982225
12.0,2.2,41.8,1.8,7.6,10.3,19.0,136547.03809968402,87.46993221,Flood,0.055917359328396775
12.3,2.3,43.0,2.0,8.0,8.7,20.0,136547.04362890488,88.57345288,Flood,0.055917361594575846
12.4,2.4,42.9,2.3,8.2,10.1,15.0,136547.04673770754,90.46017931,Flood,0.055917362868734305
18.0,3.8,52.6,3.9,11.0,11.2,17.0,42578.0,95.51296742,Flood,0.017403674842318518
18.0,3.8,52.6,3.9,11.0,11.2,17.0,136547.08795761268,95.51296742,Flood,0.055917379762920445
18.0,3.8,52.6,3.9,11.0,11.2,17.0,136547.08795761268,95.51296742,Flood,0.055917379762920445
11.107680652688016,20.341391783724713,16.37305482778937,4.65935591254632,25.331026357160994,19.7,32.44903462957991,136547.02997366973,87.46993221,Flood,0.05591735599790881
5.745583028925411,-12.891482465523982,58.646186740987304,2.8691531894118176,2.5563952305486257,22.4,107.0,18675.0,92.6696698,Flood,0.007606909664259041
5.755037724415356,-12.889656366443532,58.56511619078922,2.8408012277909576,2.4315590863130723,22.4,107.0,8959.0,92.6696698,Flood,0.003624758031826884
5.636706879318037,-12.89618924940736,59.506705756924426,3.1684104297353866,3.9387475933953375,22.4,107.0,136546.9991076264,92.6696698,Flood,0.055917343347305186
6.571441122270516,-8.157725454686506,53.53740844919174,3.6268495544290316,7.516931442454418,20.8,95.0,136547.00768799498,94.3490925,Flood,0.05591734686401255
6.571441122270516,-8.157725454686506,53.53740844919174,3.6268495544290316,7.516931442454418,20.8,95.0,136547.00768799498,94.3490925,Flood,0.05591734686401255
7.782302887208569,-1.3454954629976825,44.436729942819134,4.133994262551927,12.300771065215681,20.6,77.0,136547.0163466354,95.51296742,Flood,0.05591735041280003
7.782302887208569,-1.3454954629976825,44.436729942819134,4.133994262551927,12.300771065215681,20.6,77.0,136547.0163466354,95.51296742,Flood,0.05591735041280003
17.7,8.055926393290605,35.4,-0.019514719184876572,0.2,7.7,45.0,136546.98050280346,95.51296742,Flood,0.05591733572202461
8.9,1.4,48.9,2.6,7.6,14.6,42.0,136547.03951106482,87.46993221,Flood,0.05591735990685832
6.6,1.1,44.1,2.2,7.2,20.1,25.0,136547.02978075948,92.6696698,Flood,0.05591735591884357
6.0,1.0,46.6,2.3,7.7,12.8,21.0,136547.04528423244,94.3490925,Flood,0.0559173622730202
5.4,1.3,49.9,5.2,11.6,3.8,47.0,4726.0,87.46993221,Flood,0.0018898416197143555
6.6,1.6,58.0,6.9,14.2,2.6,48.0,136547.09611953044,90.46017931,Flood,0.05591738310812363
6.7,1.8,55.8,7.1,14.8,6.8,19.0,136547.10837953183,95.51296742,Flood,0.05591738813294707
3.382666187472311,6.720763397076336,5.0,0.2,1.8,59.6,22.0,176100.0,88.57345288,Flood,0.07212834036986139
2.7994653445363156,6.0257824183908255,5.0,0.2,1.8,59.6,24.0,79149.0,90.46017931,Flood,0.03239248375027204
2.7309728800348356,5.947185923134748,5.0,0.2,1.8,59.6,24.0,136546.87377077554,90.46017931,Flood,0.055917291977364336
0.4183941977036394,3.4885592616941308,5.1,0.3,1.9,60.5,31.0,78669.0,92.6696698,Flood,0.03219575332792052
2.0952960901484587,5.629762784505484,5.8,0.3,2.2,47.1,35.0,136546.876914531,94.3490925,Flood,0.05591729326584838
3.611143183581558,7.536841646315841,6.5,0.4,2.5,34.9,39.0,136546.88652740658,95.51296742,Flood,0.05591729720573395
46.1,2.1,122.55058489092178,6.40782571557651,7.975234603275105,6.1,145.0,70470.0,90.46017931,Flood,0.028835351801128496
49.2,2.3,81.3,2.9,3.9,5.0,64.0,136547.13190372646,94.3490925,Flood,0.05591739777445696
31.7,5.1,75.94877603043422,5.872563338058138,11.64636567601817,9.3,41.0,136547.15298430875,94.3490925,Flood,0.05591740641443999
